title,Subtitle,author,date_finished,notes
A Season with Verona,"Travels Around Italy in Search of Illusion, National Character and...Goals!",Tim Parks,30/10/2011,"A thoughtful book  that managed to marry up the visceral thrill of fanatically following this infuriating team with meditations on how it fits with the rest of people's live and society.""Great start with the chapter about the long away trip. Thought it got a bit bogged down with diversions about of a third of the way through, then ended strongly reflecting the drama of the season."
Showbusiness,The Diary of a Rock 'n' Roll Nobody,Mark Radcliffe,21/08/2011,
Beware of the Dog,Rugby's Hard Man Reveals All,Brian Moore,07/08/2011,
Neverwhere,,Neil Gaiman,28/07/2011,
True history of the Kelly gang,,Peter Carey,01/07/2011,
How Mumbo-jumbo Conquered the World,,Francis Wheen,01/07/2011,
The Shipping News,,Annie Proulx,12/06/2011,
The Death of Grass,,John Christopher,01/06/2011,
One Day,,David Nicholls,03/05/2011,
Stretch,The Unlikely Making of a Yoga Dude,Neal Pollack,18/02/2011,
The Case for Working with Your Hands,Or Why Office Work Is Bad for Us and Fixing Things Feels Good,Matthew Crawford,01/02/2011,
The Line of Beauty,,Alan Hollinghurst,01/01/2011,Very enjoyable. Loved the way it seemed to capture the mood of the period and the characters inhabiting the book seemed very natural. Wry humour contrasts with some poignant detail.
The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,,Robert Louis Stevenson,11/12/2010,
D-Day: The Battle for Normandy,,Antony Beevor,19/11/2010,
Writing Home,,Alan Bennett,17/10/2010,"The parts I enjoyed , I enjoyed very much. He is great at writing simply and directly whist simultaneously being lyrical and stylish in a low key self deprecating way. The parts that I struggled with were when he was describing world I know very little about, such as poetry, actors and plays. I still enjoyed the descriptions, but couldn't help feeling that some advance knowledge would have made it a little easier."
This is Craig Brown,,Craig Brown,15/10/2010,"The pieces about golf and the pedants society meeting were fantastic. After that the book settled into a routine of parodies, that were all enjoyable but didn't thrill me as much as the start."
How To Be a Graphic Designer Without Losing Your Soul,,Adrian Shaughnessy,07/10/2010,"Very good, detailed look at the nuts and bolts of being a graphic designer. Most interesting to me were the chapters on creativity and the mechanics of actually getting the work done. For such a practical book it was surprisingly good at rekindling large amounts of enthusiasm."
How to be Good,,Nick Hornby,21/08/2010,Enjoyable way to pass time at the rainy Greenman festival. Some funny bits and actually quite thought provoking.
Tickling The English,Notes on a Country and Its People From an Irish Funny Man On Tour,Dara O Briain,12/08/2010,
The Death of Marco Pantani,A Biography,Matt Rendell,08/08/2010,"Fascinating examination of the man as well as the rider. A fragile and mercurial character, who it seems came to embody the contradictions in pro cycling. Sad to read all about his unravelling. Sometimes a bit hard going with the vast range of characters and some complex doping terminology."
Industrial Buildings and Factories,,Oswald W. Grube,06/08/2010,Liked looking at the old black and white pics of some modernist inspired buildings
Bad Science,,Ben Goldacre,02/08/2010,"Was very good when it came out, and the science has simoultaneously got better and the understanding worse since it was written"
The White Tiger,,Aravind Adiga,17/07/2010,Directly written but with real subtlety. Almost an anti-hero. Found the way it described India's underbelly and the subtle relationships really good. Far more entertaining than that sentence makes it sound!
Cryptonomicon,,Neal Stephenson,24/05/2010,"Initially daunted by the sheer size of the book, but once it started it was a great read. Lots of nice techno phreaking, nicely counter pointed by WWII dash and espionage. Also a welcome relief were some genuinely funny episodes. Would have been a bit po-faced without that."
