title,Subtitle,author
Showbusiness,"The Diary of a Rock 'n' Roll Nobody",Mark Radcliffe
Beware of the Dog,"Rugby's Hard Man Reveals All",Brian Moore
Neverwhere,,Neil Gaiman
True history of the Kelly gang,,Peter Carey
How Mumbo-jumbo Conquered the World,,Francis Wheen
The Shipping News,,Annie Proulx
The Death of Grass,,John Christopher
One Day,,David Nicholls
Stretch,The Unlikely Making of a Yoga Dude,Neal Pollack
The Case for Working with Your Hands,Or Why Office Work Is Bad for Us and Fixing Things Feels Good,Matthew Crawford
The Line of Beauty,,Alan Hollinghurst
