title,author,date_finished
The Suitcase,Dan Berry,"Finished on Dec 26, 2013"
Goliath,Tom Gauld,"Finished on Dec 25, 2013"
"Just Ride: A Radically Practical Guide to Bikes, Equipment, Health, Safety, and Attitude",Grant Petersen,"Finished on Dec 15, 2013"
Frank Skinner Autobiography,Frank Skinner,"Finished on Dec 19, 2013"
With Nails the Film Diaries of Richard E,Richard Grant,"Finished on Nov 27, 2013"
Extremely Loud and Incredibly Close,Jonathan Safran Foer,"Finished on Nov 2, 2013"
Flowers For Algernon,Daniel Keyes,"Finished on Nov 14, 2013"
Forever Peace,Joe Haldeman,"Finished on Sep 13, 2013"
The Fry Chronicles,Stephen Fry,"Finished on Oct 18, 2013"
World War Z,Max Brooks,"Finished on Aug 12, 2013"
You Shall Know Our Velocity,Dave Eggers,"Finished on Aug 3, 2013"
The killer inside me,Jim Thompson,"Finished on Jul 25, 2013"
The Hot Zone,Richard Preston,"Finished on Jul 24, 2013"
Cell,Stephen King,"Finished on Jul 23, 2013"
The Forever War,Joe Haldeman,"Finished on Jul 21, 2013"
Ender's Game,Orson Scott Card,"Finished on Jul 18, 2013"
The Man in the High Castle,Philip K. Dick,"Finished on Jun 18, 2013"
Le Grand Meaulnes,,"Finished on Jun 26, 2013"
Raffles,E.W. Hornung,"Finished on Jun 15, 2013"
The Icon Handbook,Jon Hicks,"Finished on Jan 23, 2013"
Swamp Thing,"Alan Moore, John Totleben","Finished on Mar 14, 2013"
When the Wind Blows,Raymond Briggs,"Finished on Mar 9, 2013"
Judge Anderson,Alan Grant,"Finished on Feb 7, 2013"
"An Anthology of Graphic Fiction, Cartoons, and True Stories",,"Finished on Mar 1, 2013"
The Definitive Silver Surfer,"Marv Wolfman, Stan Lee","Finished on Feb 6, 2013"
Little Green Man,Simon Armitage,"Finished on Jan 15, 2013"
