title,author
"NurtureShock: New Thinking About Children","Po Bronson, Ashley Merryman"
"Iron Fists: Branding the 20th-Century Totalitarian State",Steven Heller
"The Urban Sketcher: Techniques for Seeing and Drawing on Location",Marc Taro Holmes
"Sneakers: The Complete Collectors' Guide",Unorthodox Styles
The Psychopath Test,Jon Ronson
The Martian Way,Isaac Asimov
The Blind Assassin,Margaret Atwood
The Left hand of Darkness,Ursula K. Le Guin
"Drive: The Surprising Truth About What Motivates Us",Daniel H. Pink
"The Numbers Game: Why Everything You Know About Football is Wrong","Chris Anderson, David Sally"
"Moonwalking with Einstein: The Art and Science of Remembering Everything",Joshua Foer
The Drowned World,J G Ballard
"Supercrash: How to Hijack the Global Economy",Darryl Cunningham
"The Monk and the Hangman's Daughter",Ambrose Bierce
Lost at Sea,Bryan Lee O'Malley
