title,author,date_finished,notes,category,amazon_link
Cold Comfort Farm,Stella Gibbons,2019-01-20,"Took a while to get going, and the main protagonist wasn't that likeable, but came together entertainingly.",Fiction,https://amzn.to/2Kng0wj
Time Warped,Claudia Hammond ,2019-03-26,Great fun and food for thought - huge list of references,Non-Fiction,https://amzn.to/2X1rJ5c
Epitaph for a Spy,Eric Ambler,2019-04-17,"Nicely put together spy work, which met the need for me to read some fiction. Something solid, with a plot. Job done.",Fiction,https://amzn.to/2XuuM6e
The Pencil: A History of Design and Circumstance,Henry Petroski,2019-05-26,Abandoned,Non-Fiction,http://amzn.to/2Bo6pzH
Naked Statistics,Charles Wheelan,2019-06-30,Abandoned,Non-Fiction,http://amzn.to/2q8TwAs
The Secret Barrister,The Secret Barrister,2019-07-16,"Revealing, thought provoking and despite the outrage, entertaining.",Non-Fiction,http://amzn.to/2q8TwAs
The Curious Case of Benjamin Button: And Six Other Stories (Penguin Modern Classics),F Scott Fitzgerald,2019-07-13,Some smart writing and wry stories,Fiction,http://amzn.to/2q8TwAs
Good Omens,Neil Gaiman,2019-08-03,"Really enjoyable fun. Witty, funny and warm - especially liked the interweaving of things  ",Fiction,http://amzn.to/2q8TwAs
The Dispossessed ,Ursula Le Guin,2019-10-04,"As usual, Le Guin lets things unfold in a languid way, and I found it good that it made me take the time. I did sometimes feel that the ideas expressed were a bit beyond me, but then it came together more towards the end. Enjoyable - and perhaps a good book to discuss.",Fiction,http://amzn.to/2q8TwAs
Literary Life,Posy Simmonds,2019-11-06,"Really liked this - witty, but also loved the deceptive simplicity of her drawings. Full of character, and so economically done.",Graphic Novel,http://amzn.to/2q8TwAs
Homo Deus,Yuval Noah Harari,2019-12-08,"Fascinating and interesting perspective of philosophical thought, related through a technological prism and all the better for it. Felt it ran out of steam towards the end as things got a little more speculative.",Non-Fiction,http://amzn.to/2q8TwAs
Ghost World,Daniel Clowes,2019-12-15,"Really lovely artwork throughout. The story - or the interactions - since there wasn't really much in the way of a plot, was more of a mood piece I guess. It was witty and interesting, but I found it a bit unsatisfying in the meandering around. Maybe that bored, tentative hiatus before adulthood was the point.",Graphic Novel,http://amzn.to/2q8TwAs
The Entrepreneurial State: Debunking Public vs. Private Sector Myths,Mariana Mazzucato,2019-12-27,"I rather whizzed through this, but I think I got the general gist - that the state needs to get a lot more credit for providing funding and strcutures for innovation that the private sector relies on. It's a good reposte to the idea that the private sector is always this dynamic powerful force and that the state is just a drag.",Non-Fiction,http://amzn.to/2q8TwAs
