title,author_1,date_finished,,category,amazon_link
The Best of A. A. Gill,A.A.Gill,2020-01-05,"Outstanding. Very funny, which I expected, but also top notch observations and hugely moving writing across loads of subjects.",Non-Fiction,https://amzn.to/2D34GPy
Girl In A Band,Kim Gordon,2020-01-13,"Bit Name Droppy, but decent.",Autobiography,
Why I’m No Longer Talking to White People About Race,Reni Eddo-Lodge,2020-01-15,The first audio book I've listened to in thirty plus years. Glad I did. Super educational and sobering.,Non-Fiction,https://amzn.to/2ZO5VN0
A Dark-Adapted Eye,Barbara Vine,2020-01-29,Nice to try crime novel - will do more.,Fiction,
I Believe in Miracles,Daniel Taylor,2020-01-29,Fun purchase for a super easy read about the first football I really remembered. I was allowed to stay up late to watch the 1978 European Cup Final and the image of Trevor Francis tumbling onto the hammer circle after scoring the winner is indelible. Fun stories and footbal talk.,Non-Fiction,https://amzn.to/3efvTjT
Giles The collection 2018,Bill Turnbull,2020-01-04,Less interesting than I remembered from my youth. Nice backgrounds though.,Graphic Novel,https://amzn.to/2MRVToY
Managing the crowd : rethinking records management for the Web 2.0 world,Steve Bailey,2020-03-04,"Did a job, got me up to speed with a modern take on Records Management, which like many subjects has more interest tha you might first think.",Non-Fiction,https://amzn.to/3jS4m9b
The Antidote,Oliver Burkemann,2020-03-14,Was interesting and turned up a ton of other things to read.,Non-Fiction,https://amzn.to/34N0fav
The Battle of the Atlantic,Johnathan Dimbleby,2020-04-18,"Ideal history book for me, really engagingly written with enough detail to make it worth it but made easy to follow and put it all together. Very good.",Non-Fiction,https://amzn.to/34N2quv
Norse Mythology,Neil Gaiman,2020-05-28,Great fun - made even better by Neil homself reading it.,Non-Fiction,https://amzn.to/2JkhNlO
The Sound of Laughter,Peter Kay,2020-07-10,"Funny, as you’d expect. Little like a stand up routine in bits, and no major drama. Good toilet book. ",Autobiography,https://amzn.to/323ctda
Life at number 10,Neil Jenkins,2020-07-18,"Standard sports autobiography. Sort of interesting inside baseball nuggets, few scores settled, and a few ‘what’s wrong with the games’. ",Autobiography,https://amzn.to/2GiLWRn
My Pride of Lions,Fran Cotton,2020-07-27,"Pedestrian. The opening chapter being a dull round up of the RFU reaction to Rugby Uninon going professional. Everything got slightly better once that was off Fran's chest.

Back to familiar sport book territory. 

- The game has changed - check
- This happened, then this and we won/lost.
- This is what's wrong with the game.
- These people are great.
- These people aren't.
- Sport is great.",Autobiography,https://amzn.to/3jO80RE
Codes of Misconduct,Adrian Hadley,2020-07-30,"Hilariously grumpy. He's always pissed off (his words) about something or someone. Dressed up as 'telling it like it is, it's classic sportball bio - plenty of score settling, and explanations of workplace shenanigans. Mostly not that interesting, but occasionally laugh out loud funny - often for the wrong reasons - Adrian really hates the French for example.

For a supposed warts an all book he glosses over any reference to personal life and the casual way a marriage breakup was over in a page or two was amusing.

I hope age has mellowed him, but I doubt it.",Autobiography,https://amzn.to/3kOyKTq
Jonathan Davies: An Autobiography,Jonathan Davies,2020-08-03,"Better written than the last two, and with a curious turns approach where the journo has a go and then you get Jonathan's version. It works ok; Peter Corrigan's bits are a bit more flowery as you'd expect and there's a nagging feeling it's a way to pad things out a bit.

Strangest thing is that it was written in the middle of a still active career, and turned mainly on the big talking point of his (then) recent convert to league.

So very of it's time, but interesting.",Autobiography,https://amzn.to/3kOyLXu
Gareth Edwards : The Autobiography,Gareth Edwards,2020-08-11,"For a start it's not an autobiography. It's not auto, and there's precious little biography. Seems like a nice enough chap, but a collection of rambling opinions about the past and future of rugby made this a bit of a slog.

Usual 'state of the game' and 'great players' chapters, mixed up with topical in 1999 references to club v country problems, player workload, the problems of professionalism and more...",Autobiography,https://amzn.to/381HtOA
Full Moon: Rugby in the Red,Rupert Moon,2020-08-13,"Easier read than other sports autobiographies I've read.Moves along at a pace and has a sense of what a journey it is to get the top of your sport - especially when you're not a star from early days.

Slows up a bit in the inevitable 'state of the game' passages, and surprised (and not unhappy) there was no 'greatest players' chapter - they seem to be obligatory.",Autobiography,https://amzn.to/360r3DA
Getting Physical - Scott Gibbs,Scott Gibbs,2020-08-14,"It was clear early in on this book that Scott Gibbs is atypical. And likes to write in short sentences. It makes the book quite easy to read. Sentences like the way he played. No fancy digressions, deviations or clauses. Not bothered much by something as quaint as a contract. No greatest players chapter. He doesn't seem that bothered about Rugby Union. Just a job. Which he was rather good at.",Autobiography,https://amzn.to/3ehAQsD
Allan Bateman: There and Back Again,Allan Bateman,2020-08-16,"Better than the average Rugby Bio, which is faint praise. Unfussy and pleasant enough, with more dishing the dirt bits than I would have expected, but even they are delivered with a polite smile.",Autobiography,https://amzn.to/3mKHISm
Gavin Henson: My Grand Slam Year,Gavin Henson,2020-08-17,"I can sort of see how it was controversial, but also seems a bit quaint 15 years on. Hardly a revelation that Clive Woodward was an odd fish, Alastair Campbell was controlling and Work is baffling. Essentially someone moaning about office politics - where the office happens to be a Rugby pitch.",Autobiography,https://amzn.to/3jHmdzO
Demon Barber,Lynn Barber,2020-08-23,"Not quite sure where Lynn Barber gets here reputation as a fearsome interviewer based on this collection. Yes, there are notable examples where she goes for people, but in the way they are written they never seem unfair - they are her opinions, backed up with reasons. The technique falls down a little when the interviewee is a bit meh, and so the interview ends up that way - the Felicity Kendall one springs to mind. I was told to look out for the Harriett Harman hatchet job, but it seemed fairly innocuous to me.",Non-Fiction,https://amzn.to/3mOj8A1
"Thinking, Fast And Slow",Daniel Kahneman,2020-10-04,I keep banging on to anyone who cares about how good this is. ,Non-Fiction,https://amzn.to/35RYEiR
