booktitle,author,notes
"Will","Will Self","A literary retrospective account of his drug years, with glimpses into his background and path to who he is or was. Lots of reaching for the dictionary for obscure words - which I liked. Found it hard to follow at times, but the respect the effort to tell a tale of extremes in a way that matches."
"Snail, Where are you? and Moon Man","Tomi Ungerer","Two kids books I bought for myself - remembered how he came up a lot during art college. Nice Illustrations"
"Pride and Prejudice","Jane Austin","Once you can get used to the construction of the language, it was a very enjoyable crafting of characters."
"Skunk Works","Ben R Rich, Leo Janos","Skunk works came up in conversation, then popped up in charity shop so felt I had to obey the universe and buy it.Best bit was at the start. talking specifics on the development of the stealth fighter. Then wandered back and forth through different periods on the technical problems they solved along the way, building incredible aircraft."
"Everything I Know about Life I learned From Powerpoint","Russell Davies","Great. Have been recommending to as many people as I can."
"The Master and Margarita","Mikhail Bulgakov","Pretty funny, Satire? not sure of what sometimes. One of those that appear on 'best of' lists."
"Humankind","Rutger Bregman","Throughly enjoyed - one of these with lots of examples in support of a pretty nice idea. Does kind of follow he format of debunking things, that seems very common these days, and slightly dread a further debunking of the debunking, but It suits my optimistic outlook."
"One Day in the Life of Ivan Denisovich","Aleksandr Solzhenitsyn","Strangely uplifting tale of survival in a the political camps of soviet Russia. Human scale story against inhuman context."
"Content Design","Sarah Winters, Rachel Edwards","Really useful - good to have around and refer to."
"The German Genius","Peter Watson","Abandoned trying to read it all at once - will dip back in at some point."
"Berserker","Adrian Edmondson","Enjoyed it more when he was talking about how he felt rather than things he’d done. Unfortunately there was more of latter as it went on."
"Robot","Adam Wiśniewski-Snerg","I kept going to the end hoping for a satisfying resolution of all the questions and mysteries raised in the early part of the book. There was a complicated and wordy philosophical discussion that was meantto deliver, but even then I found it hard going. Not without some merit. Had moments of entertainment, but took a long time to get to the dense, physics heavy explanations, and in the end had me wondering if it was all worth it."
"John Peel","John Peel, Sheila Ravenscroft","Enjoyed the bits he wrote more, and the book obviously changed a lot with the change of narrator. The childhood and formative years revealing a certain public school repression and perhaps the joyous search for new music was an antidote to that."
"Absolute Beginners","Colin MacInnes","Straight away was interesting because of the Nadsat like lingo, which perhaps influenced Anthony Burgess. Breathless and urgent throughout, and depressingly prescient with all it’s talk of immigration driven by Daily Mail chancers and racists."
"This is your Brain on Music","Daniel Levitin","Abandoned - Got quite boring quite quickly."
"Queen’s Full","Ellery Queen","Pleasant enough collection of detective puzzles. bit flowery writing in parts."
"The Elements of Content Strategy","Erin Kissane","Useful for when I was getting up to speed on Content Strategy - plenty of good stuff."
"Fingers Crossed","Miki Berenyi","Nicely written. Very direct. Honest opinions about herself and family, with a very unusual childhood the foundation for a career in music at a eventful time in British music. Especially liked her take on the britpop era - pretty scathing, and rightly so."
