Title,Watched,tmdb_id,genre,release
A Quiet place,2019-01-01,447332,Horror,2018-04-03
Jane Eyre,2019-01-02,38684,Drama,2011-03-11
Lady Bird,2019-01-04,391713,Comedy,2017-09-08
The Angels Share,2019-01-06,103747,Comedy,2012-06-01
Troll Hunter,2019-01-06,46146,Fantasy,2010-10-29
Warrior,2019-01-10,59440,Sports,2011-09-09
Sorry Wrong Number ,2019-01-12,21635,Crime,1948-09-24
It Follows,2019-01-16,270303,Horror,2014-11-13
Loving Vincent,2019-01-17,339877,Animation,2017-06-22
Split,2019-01-19,381288,Thriller,2017-01-19
13th,2019-01-19,407806,Documentary,2016-10-07
Yojimbo,2019-01-20,11878,Drama,1961-04-25
Anomalisa,2019-01-22,291270,Animation,2015-12-30
Elle,2019-01-23,337674,Crime,2016-05-25
I don’t feel at home in this world anymore,2019-01-24,425591,Crime,2017-01-19
Annihilation,2019-01-26,300668,Sci Fi,2018-02-22
Letters from Iwo Jima,2019-01-28,1251,War,2006-12-19
Morning Glory,2019-02-02,38357,Comedy,2010-11-10
Flags of our Fathers,2019-02-02,3683,War,2006-10-18
Eddie the Eagle,2019-02-03,319888,Comedy,2016-02-26
The Professionals,2019-02-03,22383,Western,1966-11-01
Marvellous,2019-02-03,295144,Biopic,2015-02-19
The Cockleshell Heroes,2019-02-04,65114,War,1955-11-16
The Mark of Zorro,2019-02-04,32093,Action,1940-11-08
Lonely Are the Brave,2019-02-06,43002,Western,1962-05-24
The Proposal,2019-02-07,18240,Comedy,2009-06-01
The Zen Diaries of Garry Shandling,2019-02-08,77397,Documentary,2018-03-25
The Killing,2019-02-09,247,Crime,1956-05-08
I Walked with a Zombie,2019-02-14,27130,Horror,1943-04-21
Flight,2019-02-16,87502,Drama,2012-11-02
Conan the Barbarian,2019-02-18,9387,Adventure,1982-04-02
Diabolique,2019-02-22,10988,Thriller,1996-03-22
Terror in a Texas Town,2019-02-28,46681,Western,1958-09-01
A Simple Plan,2019-02-28,10223,Crime,1998-12-11
Whiskey Tango Foxtrot,2019-03-02,279641,Comedy,2016-03-04
The Florida Project,2019-03-02,394117,Drama,2017-10-06
How I Live Now,2019-03-09,162215,Drama,2013-09-10
Anastasia,2019-03-10,38171,Drama,1956-12-13
Neon Genesis Evangelion: Death and Rebirth,2019-03-10,21832,Animation,1997-03-15
The favourite,2019-03-15,375262,Drama,2018-11-23
My Entire High School Sinking Into the Sea,2019-03-16,410661,Animation,2016-09-11
Looper,2019-03-19,59967,Sci Fi,2012-09-26
Safe,2019-03-16,72387,Crime,2012-04-16
Walk the Line,2019-03-23,69,Biopic,2005-09-13
Memphis Belle,2019-03-23,12651,War,1990-09-07
The Football Factory,2019-03-24,10296,Drama,2004-05-13
Good Kill,2019-03-30,253626,War,2015-04-09
The Piano Teacher,2019-03-30,1791,Drama,2001-07-21
Mission Impossible - Ghost Protocol,2019-03-31,56292,Action,2011-12-07
Upgrade,2019-04-02,500664,Action,2018-06-01
Molly’s Game,2019-04-03,396371,Biopic,2017-12-21
How Green Was My Valley,2019-04-06,43266,History,1941-10-28
Avengers Infinity War,2019-04-06,299536,Action,2018-04-25
Operation Chromite,2019-04-09,407887,War,2016-07-27
Behind Enemy Lines,2019-04-11,8007,War,2001-11-30
Charade,2019-04-13,4808,Comedy,1963-12-05
Bad Times at the El Royale,2019-04-13,446021,Thriller,2018-10-04
Prevenge,2019-04-14,395982,Horror,2016-09-01
Get Out,2019-04-17,419430,Thriller,2017-02-24
Predator,2019-04-18,106,War,1987-06-12
When Eight Bells Toll,2019-04-21,38654,Action ,1971-03-09
Mandy,2019-04-27,460885,Horror,2018-09-13
Brawl in Cell Block 99,2019-04-28,398175,Crime,2017-09-23
Men & Chicken,2019-05-04,296313,Comedy,2015-02-05
The Driver,2019-05-06,2153,Crime,1978-06-08
Taken,2019-05-09,8681,Action,2008-02-18
Beasts of the Southern Wild,2019-05-11,84175,Drama,2012-06-29
Snowpiercer,2019-05-11,110415,Sci Fi,2013-08-01
The Impossible Hour,2019-05-12,259180,Documentary,1974-03-08
Glass,2019-05-13,450465,Action,2019-01-16
Comedy of Power,2019-05-14,12713,Drama,2006-02-16
Aquaman,2019-05-16,297802,Action,2018-12-07
Suite Francaise,2019-05-18,271674,War,2014-11-05
Blindspotting,2019-05-18,489930,Drama,2018-07-20
Ant-man and the Wasp,2019-05-19,363088,Sci Fi,2018-07-04
Atomic Blonde,2019-05-21,341013,Action,2017-07-26
Seven Days in May,2019-05-23,23518,Drama,1964-02-12
Graduation,2019-05-25,19203,Drama,2007-04-24
First Man,2019-05-26,369972,History,2018-10-11
The Head Hunter,2019-06-01,553141,Fantasy,2019-04-05
All Quiet on the Western Front,2019-06-03,143,War,1930-04-29
Widows,2019-06-08,401469,Crime,2018-11-06
Spider man into the spider-verse,2019-06-13,324857,Sci Fi,2018-12-06
Man on Fire,2019-06-16,9509,Action,2004-04-23
Army of Shadows,2019-06-22,15383,War,1969-09-10
The Sum of all Fears,2019-06-22,4614,Thriller,2002-05-31
The Ballad of Buster Scruggs,2019-06-27,537996,Western,2018-11-09
The Big Sick,2019-06-29,416477,Comedy,2017-06-23
