title,watched,genre,tmdb_id,release,imageurl
Icarus,01-01-2020,Documentary,432976,2017-06-03,https://image.tmdb.org/t/p/original//x5azMi1KvZWbBbfjmGqpHNGqjH.jpg
The Hitman’s Bodyguard,04-01-2020,Comedy,390043,2017-08-16,https://image.tmdb.org/t/p/original//5CGjlz2vyBhW5xHW4eNOZIdgzYq.jpg
The Sisters Brothers,11-01-2020,Western,440161,2018-09-19,https://image.tmdb.org/t/p/original//7Tl2nZ6uvmxwK14Skbf9VFHEHpX.jpg
Showtime,16-01-2020,Comedy,5851,2002-03-14,https://image.tmdb.org/t/p/original//a1vRxRQFRwheHXJESIt2cnfudaH.jpg
The Theory of Everything,18-01-2020,Drama,266856,2014-11-26,https://image.tmdb.org/t/p/original//4jspr8hLLuju59bCnMiefzRW4p0.jpg
Anthropoid,18-01-2020,War,351339,2016-08-12,https://image.tmdb.org/t/p/original//5hUghRVVkBYufftfNQkGevY5AmE.jpg
Casualties of War,21-01-2020,War,10142,1989-08-18,https://image.tmdb.org/t/p/original//vwIkjKYMrlewvxjLICR4v4cfGPN.jpg
Beasts of No Nation,25-01-2020,War,283587,2015-09-11,https://image.tmdb.org/t/p/original//mhqavU5fQGQyiNyqFWFR0I0r2e4.jpg
The Bad News Bears,26-01-2020,Comedy,23479,1976-04-07,https://image.tmdb.org/t/p/original//fsOwHPZBtCgn1APmOtWlp1KNcIZ.jpg
A Private War,01-02-2020,War,475132,2018-11-16,https://image.tmdb.org/t/p/original//pAh6uDR9bBznybiJCVYZNJmjg63.jpg
A Dangerous Method,01-02-2020,Drama,48231,2011-09-30,https://image.tmdb.org/t/p/original//vKoP2wiyP71abIGxZ2oCmgnWG6K.jpg
Joker,08-02-2020,Drama,475557,2019-10-02,https://image.tmdb.org/t/p/original//udDclJoHjfjb8Ekgsd4FDteOkCU.jpg
John Wick Chapter 3 Parabellum,12-02-2020,Action,458156,2019-05-15,https://image.tmdb.org/t/p/original//ziEuG1essDuWuC5lpWUaw1uXY2O.jpg
Gemini Man,13-02-2020,Action,453405,2019-10-02,https://image.tmdb.org/t/p/original//uTALxjQU8e1lhmNjP9nnJ3t2pRU.jpg
The Fury,15-02-2020,Thriller,12611,1978-03-10,https://image.tmdb.org/t/p/original//u23CCG87bWtpnPuSLMWpLkdK75H.jpg
Our Idiot Brother,22-02-2020,Comedy,59968,2011-08-26,https://image.tmdb.org/t/p/original//yEKHFUkFP6bGfsy9aNRA6IscB6b.jpg
Before the Devil Knows You're Dead,23-02-2020,Crime,7972,2007-09-26,https://image.tmdb.org/t/p/original//gbPm36j9gto4wXFT4mhvGhAfl4C.jpg
Sicario Day of the Soldado,24-02-2020,Action,400535,2018-06-27,https://image.tmdb.org/t/p/original//msqWSQkU403cQKjQHnWLnugv7EY.jpg
"Me, Myself and Irene",28-02-2020,Comedy,2123,2000-06-22,https://image.tmdb.org/t/p/original//rvRrcbLbpn7UJGRH1JupgHOeJFq.jpg
Last Train to Gun Hill,28-02-2020,Western,14677,1959-07-29,https://image.tmdb.org/t/p/original//hXbBkFAcJZBHH629Kj4Ujrq1r2l.jpg
Prospect,29-02-2020,Sci Fi,506072,2018-10-02,https://image.tmdb.org/t/p/original//1HpAwszXLsD8GeypDzK0me7fPFA.jpg
El Camino,07-03-2020,Crime,559969,2019-10-11,https://image.tmdb.org/t/p/original//ePXuKdXZuJx8hHMNr2yM4jY2L7Z.jpg
The Highwaymen,07-03-2020,Crime,500682,2019-03-15,https://image.tmdb.org/t/p/original//4bRYg4l12yDuJvAfqvUOPnBrxno.jpg
Adopt a Highway,08-03-2020,Drama,565348,2019-11-01,https://image.tmdb.org/t/p/original//y2nzyAsOufAhqEEhsr0ArTCQBPz.jpg
Apollo 11,10-03-2020,Documentary,549559,2019-03-01,https://image.tmdb.org/t/p/original//woLMRroHyoTGoXyxdEeBJEYBFtu.jpg
Deepwater Horizon,12-03-2020,Drama,296524,2016-09-29,https://image.tmdb.org/t/p/original//b0BsrcYVriy2drGjeFoj7INRGKv.jpg
Hunt for the Wilderpeople,15-03-2020,Comedy,371645,2016-03-31,https://image.tmdb.org/t/p/original//skQqcMa1nSt7aqRRJiSy44KGSC1.jpg
Captain Fantastic,15-03-2020,Drama,334533,2016-07-02,https://image.tmdb.org/t/p/original//2sFME73GaD8UsUxPUKe60cPdLif.jpg
Behold A Pale Horse,16-03-2020,War,166607,1964-08-14,https://image.tmdb.org/t/p/original//hV0apdymJmePAnkZmUSRjRXbJdf.jpg
Demon Seed,18-03-2020,Sci Fi,18775,1977-04-07,https://image.tmdb.org/t/p/original//wNWFsP7lJkt3whm1BrjSerg8RR.jpg
Buffalo Soldiers,21-03-2020,Drama,9104,2001-09-08,https://image.tmdb.org/t/p/original//xDSyMGoaGNpkbDlMyupXgmZKE2E.jpg
One Cut of the Dead,24-03-2020,Horror,513434,2017-11-04,https://image.tmdb.org/t/p/original//c0ZB59m0kio95VClKoq95s1QYbu.jpg
North West Frontier,28-03-2020,War,58902,1959-10-13,https://image.tmdb.org/t/p/original//oGbyLFmikSIga4hFhQwyqmTD54r.jpg
Role Models,05-04-2020,Comedy,15373,2008-11-07,https://image.tmdb.org/t/p/original//ki79dSjh6Rr51xrsz4dT04UGxSU.jpg
Diego Maradona,08-04-2020,Documentary,536841,2019-06-14,https://image.tmdb.org/t/p/original//9SRu5YKrA2qQoGBssEJQc3h04cd.jpg
Uncut Gems,11-04-2020,Drama,473033,2019-11-14,https://image.tmdb.org/t/p/original//6XN1vxHc7kUSqNWtaQKN45J5x2v.jpg
Major Dundee,13-04-2020,War,29715,1965-04-07,https://image.tmdb.org/t/p/original//skv6Jsw6YyPKV4oQhs88zvwDCAL.jpg
Straw Dogs,14-04-2020,Crime,994,1971-12-23,https://image.tmdb.org/t/p/original//yigkfHE1OhkxPPrjrV78Y9ibGEk.jpg
Paper Moon,18-04-2020,Drama,11293,1973-05-09,https://image.tmdb.org/t/p/original//3GHG0kTcBWHKdXjj3RdK8GjBCd6.jpg
Good Time,25-04-2020,Crime,429200,2017-08-11,https://image.tmdb.org/t/p/original//s6DJXJU3HzX24Ij3VWg5MfVGHrI.jpg
Friday Night Lights,25-04-2020,Sports,13416,2004-10-08,https://image.tmdb.org/t/p/original//8HIqpOgqShRc3TAleabnYispDl1.jpg
The Bad Batch,02-05-2020,Horror,316154,2017-06-23,https://image.tmdb.org/t/p/original//7o14VaMphEIzPwzeW6FP3A6zb4W.jpg
The Operative,02-05-2020,Thriller,574207,2019-07-24,https://image.tmdb.org/t/p/original//ue9co4q7ilbjThuy0hUIYxinCzg.jpg
Amélie,07-05-2020,Comedy,194,2001-04-25,https://image.tmdb.org/t/p/original//slVnvaH6fpF22154vnjQJdXCVZd.jpg
Okja,09-05-2020,Sci Fi,387426,2017-06-28,https://image.tmdb.org/t/p/original//pHlRr2MfjK77VIIAO7p0R4jhsJI.jpg
Snatch,10-05-2020,Crime,107,2000-09-01,https://image.tmdb.org/t/p/original//56mOJth6DJ6JhgoE2jtpilVqJO.jpg
Bobby Robson: More Than a Manager,14-05-2020,Documentary,521931,2018-06-06,https://image.tmdb.org/t/p/original//yZyhACCKUTjUt86t6jPjI9W4Xre.jpg
Triple 9,16-05-2020,Crime,146198,2016-02-19,https://image.tmdb.org/t/p/original//gPkQrY8auxnTAQP8nAeS8UtUp19.jpg
The Final Countdown,23-05-2020,War,8738,1980-01-31,https://image.tmdb.org/t/p/original//4Xiq9xnaNn1tER7ltyZ3bQF6fRZ.jpg
Rooster Cogburn,23-05-2020,Western,17538,1975-10-17,https://image.tmdb.org/t/p/original//l3zmSkiBDXh1lVrPuHirbFbqG7n.jpg
Raw,06-06-2020,Horror,393519,2016-11-11,https://image.tmdb.org/t/p/original//kc8jT1MAiKM0iwdjAwC5lQrTNry.jpg
Inside Man,06-06-2020,Crime,388,2006-03-17,https://image.tmdb.org/t/p/original//mf4i9zZVXMmqWsEb9D0OAY7k3t.jpg
Filmworker,11-06-2020,Documentary,458080,2018-05-11,https://image.tmdb.org/t/p/original//qmZDdrb0nwrV6UMNQQWQh60t7pq.jpg
Bone Tomahawk,13-06-2020,Western,294963,2015-10-23,https://image.tmdb.org/t/p/original//4MmTHpn2Y8emqvBgvOjufImUmKZ.jpg
Da 5 Bloods,13-06-2020,War,581859,2020-06-12,https://image.tmdb.org/t/p/original//yx4cp1ljJMDSFeEex0Zjv45b55E.jpg
The Gambler,20-06-2020,Crime,284536,2014-12-25,https://image.tmdb.org/t/p/original//kL7DfJIje1srf8yliRiMjFEqLtM.jpg
Moonlight,27-06-2020,Drama,376867,2016-10-21,https://image.tmdb.org/t/p/original//93NN95a71MsQ4tR2zSLv8BNK2qh.jpg
I'm no longer here,28-06-2020,Drama,582927,2019-10-21,https://image.tmdb.org/t/p/original//vYte5ESNC1um5ZuRLq6J53XVkwc.jpg
