title,release,watched,URL,Source,notes,genre
Gone Baby Gone,2007,2021-12-31,23R6,Netflix,,Thriller
Primal Fear,1996,2021-12-30,28ws,Netflix,,Thriller
Cape Fear,1991,2021-12-28,28vu,Netflix,,Thriller
Die Hard: With a Vengeance,1995,2021-12-27,28zG,Disney+,,Action
Die Hard 2,1990,2021-12-26,28zw,Disney+,,Action
Die Hard,1988,2021-12-25,2a7u,Disney+,,Action
Don't Look Up,2021,2021-12-25,o0Hc,Netflix,,Comedy
How the Grinch Stole Christmas,2000,2021-12-23,1ZHQ,DVD,,Family
Incredibles 2,2018,2021-12-24,7IPg,Disney+,,Animation
Untold: Deal with the Devil,2021,2021-12-22,woAK,Netflix,,Documentary
Black Christmas,1974,2021-12-15,1Js6,Plex,Not really my thing - Might be a 70s thing that the most sympathetic character was the put upon police lieutenant.,Horror
The Trip,2021,2021-12-21,sAfm,Netflix,Cracking. The sheer novelty of difference sounds and cadences also put the icing on the cake for me.,Thriller
Hot Fuzz,2007,2021-01-19,2416,Plex,,Comedy
Shirkers,2018,2021-01-21,hDOs,Netflix,,Drama
Queen & Slim,2019,2021-01-23,jy4y,Amazon,,Romance
Green Book,2018,2021-01-30,hErk,Netflix,,Drama
Lowlife,2017,2021-02-06,gvzi,Netflix,,Crime
Long Way Up,2020,2021-02-07,rx36,Apple TV,,Documentary
Draft Day,2014,2021-02-10,61XO,Netflix,,Sports
Logan Lucky,2017,2021-02-11,dZrs,Plex,,Crime
42,2013,2021-02-13,3GBo,Amazon,,Biopic
71,2014,2021-02-14,7nWK,Film4,,Thriller
Us,2019,2021-02-16,gnV6,Netflix,,Horror
Trial by Fire,2018,2021-02-21,hjMw,Netflix,,Drama
Tallulah,2016,2021-02-27,bUm4,Netflix,,Drama
TINA,2021,2021-02-28,t5rI,Netflix,,Documentary
Toy Story 4,2019,2021-01-16,9ALu,Plex,,Animation
Avengers: Endgame,2019,2021-01-13,9vE4,Netflix,,SciFi
Booksmart,2019,2021-01-09,igNS,Netflix,,Comedy
Triangle,2009,2021-01-09,1tQG,Amazon,,Horror
ZZ Top: That Little Ol' Band From Texas,2019,2021-12-09,mzck,Plex,,Documentary
Once Upon a Time… in Hollywood,2019,2021-07-18,gH0O,Netflix,,Drama
Nobody,2021,2021-08-07,mLqS,Netflix,,Action
Ronnie Coleman: The King,2018,2021-11-29,joig,Netflix,"Pretty standard no real drama and a bit long, but Ronnie comes over as a lovely guy and you wish him well.",Documentary
White Boy,2017,2021-12-01,g3FW,Netflix,A real head shaker on how so many people were in on screwing this guy.,Documentary
Wrath of Man,2021,2021-12-11,nEia,Amazon,Jason Statham in a film with classy pretentions complete with the now ubiquitous ominous long bow sound track that everyone goes for. Soft sport for Holt Mcallany.,Action
Edge of Tomorrow,2014,2021-11-14,4pD0,Plex,,SciFi
Portrait of a Lady on Fire,2019,2021-11-09,jkPq,iPlayer,,Drama
The Harder They Fall,2021,2021-11-06,mRCU,Netflix,"Difficult to see how this could go wrong with such a great cast, and Regina King was the star for me.",Western
Prince of Darkness,1987,2021-10-31,1ZKq,Box of Broadcasts,"Once I got past some of the distractingly average effects - which I'm sure weren't state of the art, even in 1987, it was pretty enjoyable. I can't help thinking a toe up the arse rather than a rugby tackle would've done the trick.",Horror
Inside Job,2010,2021-11-03,Rsw,Netflix,"Steal money, use that money to buy influence to make stealing money in that particular way legal. Keep money.",Documentary
"Girl, Interrupted ",1999,2021-10-24,25ds,DVD,,Drama
The Guilty,2021,2021-10-16,,Netflix,“Broken people save broken people” ooof. Loses a star right there- and it doesn’t have many to play with.,Drama
