title,release,watched,genre,notes,Source,URL
The Stranger,2022,2022-12-30,Thriller,,Netflix,https://boxd.it/w1Yk
Day Shift,2022,2022-12-26,Action,,Netflix,https://boxd.it/sn8W
Glass Onion: A Knives Out Mystery,2022,2022-12-23,Crime,,Netflix,https://boxd.it/oCkK
Mission: Impossible III,2006,2022-12-22,Action,,Amazon,https://boxd.it/29cI
Mission: Impossible II,2000,2022-12-21,Action,,Netflix,https://boxd.it/29cS
Porridge,1979,2022-12-20,Comedy,,Live TV,https://boxd.it/16k8
Windfall,2022,2022-12-11,Thriller,,Netflix,https://boxd.it/w4Zg
Another Round,2020,2022-12-08,Drama,,Netflix,https://boxd.it/lkba
The Captain,2017,2022-11-20,War,,Plex,https://boxd.it/h2os
Just Mercy,2019,2022-11-19,Drama,,Amazon,https://boxd.it/iXj2
Robocop,1987,2022-11-19,SciFi,,DVD,
The Pledge,2001,2022-11-13,Drama,,Netflix,https://letterboxd.com/film/the-pledge/
Upstream Color,2013,2022-11-09,Drama,Like Tangerine Dream music made visual. I liked it.,DVD,https://boxd.it/4Cwc
I Am Love,2009,2022-11-08,Drama,"I do like a slow visually interesting film were not much happens, and Tilda Swinton is as a charismatic as ever….However, it did take an awfully long time to get there.
Guadagnino showed that he can do drama when the minimal plot does play out.
Frustrating, but it just about comes out ahead for me since there's some other themes to think about, if i was a proper critic.",DVD,https://boxd.it/10ac
Saint Maud,2019,2022-11-01,Horror,,Amazon,https://boxd.it/l8QA
Wind River,2017,2022-10-31,Crime,,Amazon,https://boxd.it/dR3i
The Good Nurse,,2022-10-30,Drama,,Netflix,
Dune,2021,2022-10-22,SciFi,,Plex,https://boxd.it/fA7G
Prey,2022,2022-10-17,Action,,Disney+,https://boxd.it/sNBU
Pixie,2020,2022-10-10,Crime,,Netflix,https://boxd.it/odTg
The Prophecy,1995,2022-10-01,Horror,,Amazon,https://boxd.it/1SCk
The Father,2020,2022-09-29,Drama,,Netflix,https://boxd.it/m8Ie
The King of Staten Island,2020,2022-09-28,Comedy,,Netflix,https://boxd.it/litG
Everything Everywhere All at Once,2022,2022-09-28,Drama,,Amazon,https://boxd.it/jUk4
The Story of Film: A New Generation,2021,2022-09-27,Documentary,,Netflix,https://boxd.it/vPgg
Crawl,2019,2022-09-26,Action,,Film4,https://boxd.it/iwYi
The Winter War,1989,2022-09-25,War,,Plex,https://boxd.it/1nBK
Good Fellas,1990,2022-09-24,Crime,,DVD,
News of the World,2020,2022-09-16,Western,,Netflix,https://boxd.it/lm7a
The Unforgivable,2021,2022-08-27,Drama,,Netflix,https://boxd.it/nZ4e
Concussion,2015,2022-08-24,Biopic,,Netflix,https://boxd.it/aqIs
The Rainmaker,1997,2022-08-23,Thriller,,Netflix,https://boxd.it/1SD8
The Gray Man,2022,2022-08-09,Action,,Netflix,https://boxd.it/rb7q
Ford v Ferrari,2019,2022-07-31,Sports,,More4,https://boxd.it/ce74
Rogue Agent,2022,2022-07-30,Thriller,,Netflix,https://boxd.it/vWGK
Stop Making Sense,1984,2022-07-21,Documentary,,Amazon,https://boxd.it/1ygo
Ad Astra,2019,2022-07-17,SciFi,,More4,
Boiling Point,2021,2022-07-14,Drama,,Netflix,https://boxd.it/uo2u
Erin Brockovitch,2000,2022-07-09,Drama,,Netflix,
Up in the Air,2009,2022-07-02,Drama,,Netflix,https://boxd.it/1zPY
Bandits,2001,2022-06-30,Comedy,"Pretty great trio working hard to keep this all together. At one point I thought it was a hot mess when the middle sagged, but the twisty ending was nice if a bit lacking in drama.",Box of Broadcasts,https://boxd.it/25Aw
The Man From Toronto,2022,2022-06-25,Comedy,,Netflix,https://boxd.it/oRgS
Hustle,2022,2022-06-22,Sports,,Netflix,https://boxd.it/qpig
But I'm a Cheerleader,1999,2022-06-18,Comedy,,Amazon,https://boxd.it/1CW4
Lawless,2012,2022-06-16,Crime,,Netflix,https://boxd.it/2TIK
The Blind Side,2009,2022-06-11,Sports,,Netflix,https://boxd.it/1zWg
Black Crab,2022,2022-05-10,Action,,Netflix,https://boxd.it/sAqO
Worth,2020,2022-05-07,Drama,,Netflix,https://boxd.it/o7ZM
Summer of Soul,2021,2022-04-23,Documentary,,Disney+,https://boxd.it/tbhu
No Time to Die,2021,2022-04-20,Thriller,,Amazon,https://boxd.it/cPX2
Doctor Sleep,2019,2022-04-05,Horror,,Amazon,https://boxd.it/i5vI
The Lost Daughter,2021,2022-02-25,Drama,,Netflix,https://boxd.it/kgww
The Town,2010,2022-02-23,Crime,,Netflix,https://boxd.it/1zyS
The Way to the Stars,1945,2022-02-21,War,,Film4,https://boxd.it/SPG
Jumanji: The Next Level,2019,2022-02-14,Family,,Netflix,https://boxd.it/ixu4
The Power of the Dog,2021,2022-01-22,Western,,Netflix,https://boxd.it/m99E
Free Guy,2021,2022-01-18,Comedy,Lots of fun ,Disney+,https://boxd.it/k8dm
Fargo,1996,2022-01-14,Crime,Yah? Oh Yah. Oh Yah? Yaah.,Amazon,https://boxd.it/2aHM
Untold: Crimes & Penalties,2021,2022-01-11,Documentary,"The patriarch was a weird mix of Derek Hatton and will Ferrell.
An orgy of pretty nasty self aggrandising bullshit. I really think they buy the shit they're selling.
They cheated like fuck at everything they did. slightly redeemed by the son getting out from under.",Netflix,https://boxd.it/woAq
Untold: Malice at the Palace,2021,2022-01-10,Documentary,"Liked the District Attorney who did his job properly. The racial bias of the 'thug' and hip-hop narrative was depressing, as was the hot takes from all the news anchors losing their shit and their perspective. Especially denouncing highly paid athletes who've risen to the top in a field that I'd suggest is a bit more competitive than autocue fed mannequins.
The fan who still deludes himself that a cheap shot was all that stood between him and glory - was nice to see the makes give him all the rope he needed.
It seemed good that the players had mostly come to terms with the whole thing - even despite the injustice of it all.",Netflix,https://boxd.it/wnUa
Gangs of New York,2002,2022-01-07,Drama,,Netflix,https://boxd.it/25FG
"Bob Ross: Happy Accidents, Betrayal & Greed",2021,2022-01-05,Documentary,,Netflix,https://boxd.it/wdXI
The Ipcress File,1965,2022-01-02,Thriller,,Live TV,https://boxd.it/1MzE
Return of the Jedi,1983,2022-01-01,Action,,Disney+,https://boxd.it/27Vm
