Test,Title,Watched,Genre,Notes,Source,URL
,"Ocean's Thirteen (2007)","December 29, 2023",Crime,,Amazon,https://boxd.it/2aEy
,How the Grinch Stole Christmas (2000),"December 24, 2023",Family,,Amazon,https://boxd.it/5oi1Kr
,Paddington (2014),"December 23, 2023",Family,Clever and entertaining,Live TV,https://boxd.it/3RKw
,Train to Busan (2016),"December 16, 2023",Horror,Train setting elevated it. and the hordes.,Box of Broadcasts,https://boxd.it/5kUF33
,Conspiracy (2001),"December 6, 2023",Drama,,Box of Broadcasts,https://boxd.it/1R5u
,Plane (2023),"November 22, 2023",Action,,Amazon,https://boxd.it/o0lq
,The Boondock Saints (1999),"November 13, 2023",Crime,A very 90s hot mess,Amazon,https://boxd.it/20gw
,The Killer (2023),"November 12, 2023",Crime,,Netflix,https://boxd.it/u6WE
,The Burial (2023),"November 5, 2023",Drama,"Bit flabby in parts, but hard to mess up the courtroom formula with a decent cast.",Amazon,https://boxd.it/sFPO
,Censor (2021),"November 4, 2023",Horror,Tight and interesting. Don't really care if it is or isn't 'horror' was just a very well done descent.,More4,https://boxd.it/oHFS
,Black Dynamite (2009),"November 1, 2023",Comedy,That was fun. I AM smiling.,Amazon,https://boxd.it/1wX6
,They Cloned Tyrone (2023),"October 15, 2023",Comedy,,Netflix,https://boxd.it/rE7a
,The Remains of the Day (1993),"September 3, 2023",Drama,,Live TV,https://boxd.it/291A
,Bull (2021),"August 12, 2023",Action,,Netflix,https://boxd.it/4GDfED
,Deerskin (2019),"July 1, 2023",Horror,"Killer style. Loved the slow, low key start and then how it took off",More4,
,The Little Things (2021),"April 22, 2023",Crime,"Denzel phoned it in a bit, and the story matched that efforrt.",Amazon,https://boxd.it/mdxU
,Jeepers Creepers,"March 19, 2023",Horror,,Plex,
,Vesper (2022),"March 17, 2023",SciFi,,Netflix,https://boxd.it/ASlI
,Cuban Fury (2014),"March 11, 2023",Comedy,,Netflix,https://boxd.it/62To
,Page Eight (2011),"March 10, 2023",Drama,,Netflix,https://boxd.it/2m3u
,All Quiet on the Western Front (2022),"February 22, 2023",War,,Netflix,https://boxd.it/H08
,Lapsis (2020),"February 19, 2023",SciFi,,More4,https://boxd.it/oMAo
,Dogtooth (2009),"February 18, 2023",Drama,,Plex,https://boxd.it/3SiWbx
,Carnival of Souls (1962),"February 12, 2023",Horror,"Looked nice, sounded nice but didn’t really get anywhere. ",Plex,https://boxd.it/1KQ4
,Scratch (2001),"February 11, 2023",Documentary,,Plex,https://boxd.it/1FVS
