,Title,Watched,Genre,Notes,Source,URL
,"My Cousin Vinny (1992)","December 27, 2024",,,"Live TV","https://boxd.it/1WpO"
,"Die Hard (1988)","December 26, 2024","Action",,"Disney+","https://boxd.it/2a7u"
,"Home Alone 2: Lost in New York (1992)","December 26, 2024","Comedy",,"Disney+","https://boxd.it/29F6"
,"Wallace & Gromit: Vengeance Most Fowl (2024)","December 25, 2024","Comedy",,"Live TV","https://boxd.it/8gk6Pd"
,"The Taking of Pelham One Two Three (1974)","December 25, 2024","Crime",,"Amazon","https://boxd.it/8988xX"
,"Carry-On (2024)","December 21, 2024","Action",,"Netflix","https://boxd.it/C0B2"
,"Love Lies Bleeding (2024)","December 14, 2024","Crime",,"Amazon","https://boxd.it/zN4q"
,"Yesterday (2019)","December 14, 2024","Comedy",,"Amazon","https://boxd.it/iF7M"
,"Joyride ","December 11, 2024","Drama",,"Netflix","https://boxd.it/sE1o"
,"TÁR (2022)","December 7, 2024","Drama",,"Netflix","https://boxd.it/7ZN7qj"
,"Ready or Not (2019)","November 24, 2024","Horror",,"Netflix","https://boxd.it/7SKZLh"
,"This Is England (2006)","November 16, 2024","Drama",,"Plex","https://boxd.it/7PfDnt"
,"The Intern (2015)","November 12, 2024","Comedy",,"Netflix","https://boxd.it/7NlEW9"
,"The Duke of Burgundy (2014)","November 9, 2024","Drama",,"More4","https://boxd.it/7kwu"
,"John Wick: Chapter 4 (2023)","November 2, 2024","Action",,"Netflix","https://boxd.it/mh48"
,"Woman of the Hour (2023)","October 20, 2024","Drama",,"Netflix","https://boxd.it/vuz2"
,"Titane (2021)","October 13, 2024","Horror",,"More4","https://boxd.it/nlQC"
,"The Sun (2005)","October 6, 2024","Drama",,"Plex","https://boxd.it/3o50"
,"Decalogue I (1989)","September 21, 2024","Drama",,"Plex","https://boxd.it/3WmE"
,"Jerry & Marge Go Large (2022)","September 15, 2024","Biopic",,"Netflix","https://boxd.it/vPf8"
,"French Exit (2020)","September 15, 2024","Drama",,"Film4","https://boxd.it/m81Y"
,"Three Thousand Years of Longing (2022)","September 1, 2024","Fantasy",,"More4","https://boxd.it/kmoy"
,"Triangle of Sadness (2022)","August 31, 2024","Drama",,"Netflix","https://boxd.it/hXlq"
,"Wicked Little Letters (2023)","August 2, 2024","Crime",,"Netflix","https://boxd.it/AQXU"
,"The Outfit (2022)","August 1, 2024","Crime",,"Netflix","https://boxd.it/u6Eq"
,"Nope (2022)","July 13, 2024","Horror",,"Netflix","https://boxd.it/sDCe"
,"Brian and Charles (2022)","May 25, 2024","Comedy",,"Netflix","https://boxd.it/yoOQ"
,"Un Flic (1972)","May 4, 2024","Crime",,"Plex","https://boxd.it/W8G"
,"The Boys from Brazil (1978)","April 27, 2024","Thriller",,"Box of Broadcasts","https://boxd.it/1KvK"
,"Jim & Andy: The Great Beyond (2017)","April 19, 2024","Documentary",,"Netflix","https://boxd.it/gO36"
,"The Old Oak (2023)","April 1, 2024","Drama",,"Netflix","https://boxd.it/AEng"
,"Gimme Danger (2016)","March 31, 2024","Documentary",,"Amazon","https://boxd.it/dJqS"
,"Top Gun: Maverick (2022)","March 28, 2024","Action",,"Netflix","https://boxd.it/cjr4"
,"The Hours (2002)","March 23, 2024","Drama",,"Plex","https://boxd.it/2a3s"
,"Spaceman (2024)","March 22, 2024","SciFi",,"Netflix","https://boxd.it/nC20"
,"NYAD (2023)","March 1, 2024","Biopic",,"Netflix","https://boxd.it/xOSM"
,"Safe (1995)","February 24, 2024","Drama",,"Plex","https://boxd.it/1gKU"
